aircraft_type,aircraft_code,seats,range_miles,range_km
Cessna 172,C172,3,640.0,1029.98
Cessna 208,C208,9,1070.0,1721.998
Beechcraft King Air 350,B350,11,1806.0,2906.475
Short Sc.7 Skyvan,SC7,19,694.0,1116.885
Embraer EMB 120,EMB120,30,1090.0,1754.185
Embraer ERJ135,ERJ135,37,1496.0,2407.579
ATR 42,ATR42,48,824.0,1326.099
Dash 8-Q400,DH8D,78,1255.0,2019.727
CRJ900,CRJ900,90,1833.0,2949.928
