uniqueid,u,v,length,lanes,speed_mph
167,3958379213,1683572015,62.1,1,20
168,3958379213,1683571984,43.3,1,50
169,3958379213,3958379212,10.1,1,20
170,3196064542,3196064547,26.8,2,35
171,3196064542,3196064546,28.3,1,25
172,3196064547,2393342139,66.5,2,35
173,3196064552,3196064546,52.7,2,35
174,3196064552,3196064547,54.4,1,25
175,275780457,275782462,599.6,3,25
176,275780457,275779890,23.5,3,25
177,3369079743,258972910,16.3,5,40
178,3369079743,610194249,190.9,3,35
179,461378553,461378567,207.3,2,50
180,461378553,293847696,79.4,1,20
181,461378567,461376765,289.2,1,50
182,461378567,182405023,325.0,1,50
183,432018469,65425032,16.2,1,30
184,432018469,206351337,44.9,3,35
185,685773938,685765520,239.4,1,20
186,685773938,685775412,88.8,3,65
187,448795781,65426734,95.3,2,30
188,448795781,3142640230,356.0,1,30
189,448795781,65550685,923.2,1,25
190,3196064978,3224391508,16.1,2,35
191,3196064978,57952751,115.0,2,35
192,3196064981,5543286812,15.5,1,20
193,3196064981,57827783,252.4,1,20
194,3196064981,3196064978,211.7,2,35
195,3196064984,352686942,16.4,1,25
196,3196064984,5538768469,202.9,2,35
197,3196064984,3102989936,1443.6,1,25
198,461378996,461378553,35.1,3,20
199,1853887940,91069540,198.3,1,20
200,1313871431,1313871347,55.6,1,25
201,1313871431,53087371,63.6,1,25
202,1313871431,53073084,687.5,1,25
203,1373640503,4572248205,809.0,1,20
204,1373640503,4514806063,745.9,1,20
205,1373640503,348503527,2851.1,1,20
206,5835331655,65413979,842.7,2,50
207,5835331659,65493823,27.1,3,50
208,5835331659,5835331655,47.1,1,25
209,5835331660,1081488445,99.0,3,30
210,120592887,65411367,255.1,1,50
211,120592887,65397432,200.9,1,50
212,5303704115,4995594735,9.8,2,40
213,5303704115,4919735273,53.0,2,20
214,685775412,241855089,292.7,2,50
215,685775412,241855401,790.3,4,45
216,5303704116,5303704115,12.6,2,20
217,5303704116,347483604,1438.0,2,40
218,120592954,1392020693,175.4,1,50
219,4592769749,52981622,890.4,1,20
220,3196066591,3196064984,457.0,2,35
221,275782462,53090185,22.9,2,25
222,275782462,275776613,42.4,2,25
223,275782462,370473665,55.6,3,25
224,1919949643,1919949648,14.5,3,25
225,1919949643,4602546605,531.7,3,25
226,1919949644,1919949643,18.8,3,25
227,1919949648,1710469586,17.1,3,25
228,1919949648,1710469608,261.8,3,25
229,275782481,53117382,346.8,2,25
230,275782481,275782495,29.6,3,25
231,275782491,53090190,17.1,1,25
232,275782491,275777737,172.4,3,25
233,275782491,240469532,550.0,1,25
234,275782495,275782491,257.2,3,25
235,309337101,189722632,18.1,2,35
236,309337101,2011445961,48.2,2,35
237,309337101,2011445962,51.0,3,40
238,1067457597,206696652,2211.9,3,65
239,2804948083,110416941,42.7,1,25
240,2804948083,110423292,595.7,3,25
241,5243936038,110360299,346.9,1,20
242,5243936038,2344118274,258.7,1,20
243,5243936038,4599200298,72.7,1,20
244,3120772108,57794771,117.0,4,25
245,2432703967,95710949,160.6,3,25
246,2432703968,95712801,78.5,1,25
247,2432703968,95712800,35.3,3,25
248,2432703993,2579936441,841.6,3,25
249,2432703996,95712800,100.9,3,25
250,2432703996,2432703967,109.7,1,25
251,2432704000,95712800,65.9,1,25
252,2432704000,2432703993,68.8,1,25
253,2432704000,95715563,317.4,1,25
254,26678388,258969767,22.8,3,65
255,26678388,2460737425,37.0,3,45
256,4168097846,1082448766,313.8,3,25
257,4168097846,4168097848,14.0,1,25
258,4168097848,3711234038,463.6,3,25
259,4168097848,4168097846,14.0,1,25
260,189800541,33278499,184.8,2,45
261,189800541,65402297,27.2,1,50
262,4445970539,1839842351,9.5,2,20
263,189800555,189800541,12.0,1,50
264,189800555,344752198,121.9,3,45
265,189800566,32331543,20.7,2,40
266,189800566,65570194,493.9,3,45
267,189800566,272199768,205.5,1,30
268,281358699,281371080,47.1,1,30
269,281358699,4184051500,15.4,1,30
270,5371863257,419908545,123.4,3,30
271,5371863257,3969049517,164.9,1,30
272,1080041704,1080041709,13.2,2,45
273,1080041704,53129827,743.6,2,35
274,1080041709,1080041744,13.6,2,35
275,1080041725,1080041704,14.0,2,35
276,1080041725,1080041818,185.0,2,45
277,281358717,65403022,40.2,3,35
278,281358717,65377551,44.6,1,30
279,281358718,281358589,107.6,3,35
280,1080041744,1080041725,12.6,2,45
281,1080041744,523176129,242.4,2,35
282,1080041765,1588863855,16.2,2,45
283,1080041765,52982210,217.7,3,30
284,1080041771,1080041833,14.0,1,20
285,1080041771,53129827,623.0,1,20
286,1080041771,1080041775,253.2,2,45
287,1080041775,2954359830,14.7,2,20
288,1080041775,1080041974,669.9,2,45
289,1080041781,1080041818,13.6,2,20
290,1080041781,1080041704,176.2,2,45
291,744497458,3707648867,36.5,1,45
292,744497458,3707648871,22.2,1,45
293,1080041818,1080041976,9.0,2,45
294,1080041818,1080041976,708.9,2,20
295,272638308,62422741,39.3,3,25
296,272638308,62422853,52.3,1,50
297,1080041828,1080041775,14.8,2,20
298,1080041828,1080041833,247.5,2,45
299,1080041833,1080041771,14.0,1,20
300,1080041833,4177071603,303.3,2,45
301,272638322,62272609,16.0,3,25
302,272638322,62422786,944.7,3,35
303,1080041844,1080041765,13.1,3,30
304,1080041844,53066816,545.9,2,45
305,272638431,62272624,14.7,3,25
306,272638431,62272622,46.5,3,35
307,272638435,272638431,44.0,3,30
308,272638435,62272622,79.2,1,25
309,272638451,62519973,81.2,3,25
310,1080041974,1080041781,8.8,2,45
311,1080041976,1080041974,13.7,2,20
312,1080041976,2954359830,673.2,2,45
313,3196068345,5540554169,1181.5,2,35
314,3196068345,3196068342,26.7,1,25
315,3196068342,3196068346,38.7,2,35
316,3196068349,3196068345,66.6,2,35
317,3196068346,3224391504,183.6,2,35
318,3196068346,3196068349,52.9,1,25
319,272638492,272638451,50.4,1,25
320,272638492,62272624,35.3,3,35
321,552608906,1390562678,122.3,2,25
322,1080042657,3701634865,14.1,1,25
323,1080042657,4177071604,350.7,2,45
324,4178584798,611620420,41.3,3,35
325,4178584798,4236261432,63.7,1,25
326,809510134,65348681,375.3,1,50
327,809510134,5008688140,99.0,1,35
328,809510134,65348558,86.5,1,35
329,809510135,65388938,14.9,2,20
330,809510135,809510163,145.5,2,25
331,809510135,65492504,2127.2,2,30
332,809510163,65388938,149.2,2,25
333,809510163,65388934,104.5,2,35
334,1067460085,199714977,453.7,1,50
335,1067460085,26029664,400.7,3,65
336,1080043114,4177071619,16.5,1,25
337,1080043114,53066816,153.5,1,25
338,3190827102,65571447,11.6,1,30
339,3190827102,65421188,372.0,1,30
340,3190827102,65628982,620.1,2,45
341,1112549605,911859763,316.4,2,30
342,1112549610,1112549605,55.8,2,25
343,1112549612,65348736,11.5,2,35
344,1112549612,339426182,40.8,2,35
345,1112549615,65367452,56.3,2,25
346,1112549615,252944390,532.8,1,50
347,486549745,53096843,1359.5,1,25
348,486549745,5373127744,340.0,2,40
349,486549745,720629641,249.3,2,40
350,3190827672,292466026,12.7,2,25
351,3190827672,3190827102,1893.7,2,45
352,3190827674,3190827672,15.0,2,45
353,3190827674,2219949278,351.3,2,25
354,448801432,726963272,61.2,1,30
355,448801432,448801431,51.3,3,35
356,448801431,26031465,19.4,3,35
357,448801431,726963272,36.6,3,35
358,3190827705,65591806,42.5,1,35
359,3190827705,65600471,269.1,1,35
360,3190827705,3190827702,57.2,1,25
361,3190827702,65591806,31.6,1,45
362,3190827702,65546031,594.6,1,45
363,937437896,62419292,85.3,1,20
364,3190827732,2057319498,48.0,4,40
365,249055280,57894828,106.3,1,20
366,56065239,55960765,71.5,1,25
367,56065239,56088543,4054.6,1,25
368,56065239,56010170,2371.7,1,20
369,2202020936,522008607,537.0,1,20
370,1373646081,57928943,17.4,2,45
371,1373646081,57928942,383.1,2,45
372,1373646081,4658258247,216.6,1,20
373,263019124,263019120,166.0,1,20
374,254816127,256538384,991.3,1,50
375,254816127,281880627,2751.1,1,55
376,254816127,281880627,2853.3,1,20
377,451948851,65415461,18.3,1,25
378,451948851,65477543,248.3,1,25
379,451948851,65415464,302.1,2,45
380,451948854,65415445,18.2,1,20
381,451948854,5852347921,45.5,2,40
382,451948854,5852347926,24.8,1,20
383,3951046980,3951046981,72.3,1,30
384,3951046981,3951046980,72.3,1,30
385,3951046981,5075881658,183.3,2,30
386,448803345,448805198,11.1,1,25
387,448803345,292445477,643.6,2,25
388,2459972364,53034890,1583.4,1,20
389,2459972364,575671795,64.3,1,20
390,2459972364,575671796,102.7,1,25
391,2459972373,53074412,12.6,1,20
392,2459972373,53020824,116.9,3,25
393,2459972376,2459972373,157.8,3,25
394,2459972382,311685523,16.2,3,30
395,2459972382,2459972376,178.2,3,25
396,2459972383,2459972382,16.7,3,25
397,2459972383,53136901,219.8,3,30
398,2459972384,2459972383,112.2,3,25
399,1222967870,57885372,536.5,1,20
400,65652585,1081488536,290.2,1,20
401,1760572292,1096098261,10.6,2,30
402,2057319481,2057319509,46.6,3,40
403,2057319481,4170289415,78.9,3,30
404,2057319498,65531395,16.1,1,20
405,2057319498,65512384,113.5,2,40
406,2057319503,65573556,16.2,1,25
407,2057319503,3190827732,37.8,2,40
408,2057319503,4170322529,28.4,1,25
409,2057319508,517251116,14.9,1,25
410,2057319508,5225640579,32.3,2,40
411,2057319508,5225640576,34.8,1,25
412,2057319509,65424368,15.7,1,20
413,2057319509,5049986969,35.1,2,40
414,2057319509,4170289415,52.5,1,20
415,69219487,65400964,536.4,1,50
416,69219487,26507090,577.8,4,65
417,69219537,69219487,393.9,5,65
418,744502830,706921308,106.1,1,45
419,744502830,65439020,62.1,2,50
420,276837953,152311607,30.8,1,30
421,276837953,276838006,67.9,3,40
422,204486285,204815740,374.7,1,50
423,204486285,204816201,219.6,1,50
424,346044191,346045298,432.9,3,65
425,346044191,55955727,372.9,1,50
426,311441260,3557416939,23.6,4,35
427,311441260,311441413,73.8,1,50
428,276838310,26028708,124.8,2,35
429,276838310,1068121510,36.7,2,35
430,311441413,33783802,419.2,2,50
431,276838433,65595779,13.8,1,20
432,276838433,65595777,16.6,1,20
433,276838433,281615635,162.2,2,35
434,276838434,65438648,12.9,1,20
435,276838434,65512225,19.4,1,20
436,276838434,276838433,201.7,2,35
437,276838435,272287964,29.0,1,45
438,276838435,272288066,33.9,2,35
439,276838454,344593930,332.3,2,45
440,4236261432,53144459,1253.1,3,45
441,276838456,272288066,44.5,2,45
442,276838456,2498006327,109.3,2,35
443,4169922600,2159754247,31.8,1,20
444,4169922600,1097706537,1221.9,2,20
445,4169922600,4169922605,42.1,1,20
446,4169922606,4169892222,56.7,1,20
447,4169922606,2159754247,49.2,2,20
448,2860529993,32875800,230.7,1,45
449,448805198,448803345,11.1,1,25
450,448805198,65484382,124.6,2,25
451,2860529998,2860529993,99.8,1,45
452,2860529998,65387885,46.1,5,35
453,311441759,65548078,417.1,2,50
454,243284443,53064190,658.6,2,55
455,276838932,65553748,567.0,1,20
456,276838932,538164039,361.5,2,40
457,276838943,65580573,229.0,1,20
458,276838943,258972732,236.9,1,30
459,276838943,65505324,339.1,1,30
460,311442068,312647369,54.9,2,50
461,311442068,312649431,57.1,1,50
462,1082914970,1082915130,45.9,1,30
463,1082914970,312411493,30.0,3,45
464,4557987018,57868439,134.3,1,20
465,4557987018,3497466895,215.3,1,20
466,5358238640,57792240,368.8,2,35
467,5358238640,57877768,114.5,2,35
468,1853897723,2691863323,104.2,1,25
469,1853897723,306095061,2122.6,2,65
470,3958389810,90752961,497.6,1,50
471,3958389810,90752965,102.1,2,25
472,728775817,1404116307,372.1,2,50
473,346045728,346045895,38.9,1,25
474,346045728,55998245,100.1,1,25
475,346045895,346045728,38.9,1,25
476,346045895,55955722,65.3,1,25
477,1935687145,1298973519,332.9,2,50
478,1935687145,65495047,504.4,1,25
479,1935687145,3632366848,159.8,2,25
480,1935687161,65388052,401.7,4,65
481,1656765987,311779353,59.3,1,30
482,1656765987,1656766049,34.5,1,30
483,2322611774,4911065157,16.0,1,30
484,2322611774,297167867,553.2,4,30
485,1656766049,311779353,39.8,2,30
486,1656766049,340160946,11.5,1,30
487,1696612039,65402815,41.0,1,50
488,1696612039,2844180659,64.0,1,50
