,SAMPN,PERNO,origin_osmid,destination_osmid,dep_time,origin,destination,travel_mode
0,18019,1,4353687912,3196060444,31298.236934851193,215644,91009,0
1,7124,1,4993566559,4353687912,34460.01075318611,202691,83887,1
2,4645,1,432014235,4353687912,31811.463795023512,218623,87400,1
3,10764,1,4353687911,4353687911,35080.80440430442,213326,96813,0
4,12171,1,3196060444,3196060444,36057.83548553321,206939,91749,1
5,11319,1,4353687911,4993566559,28603.23620291211,204223,83185,1
