physical-memory-in-KB,virtual-memory-in-KB,message
217,23799932,55202632,Start
218,23799932,55202632,Start
219,23799932,55202632,Start
220,23799932,55202632,Start
221,23799932,55202632,Start
222,23799932,55202632,Start
223,23799932,55202632,Start
224,23799932,55202632,Start
225,23799932,55202632,Start
226,23799932,55202632,Start
227,23799932,55202632,Start
228,23799932,55202632,Start
229,23799932,55202632,Start
230,23799932,55202632,Start
231,23799932,55202632,Start
232,23799932,55202632,Start
233,23799932,55202632,Start
234,23799932,55202632,Start
235,23799932,55202632,Start
236,23799932,55202632,Start
237,23799932,55202632,Start
238,23799932,55202632,Start
239,23799932,55202632,Start
240,23799932,55202632,Start
241,23799932,55202632,Start
242,23799932,55202632,Start
243,23799932,55202632,Start
244,23799932,55202632,Start
245,23799932,55202632,Start
246,23799932,55202632,Start
247,23799932,55202632,Start
248,23799932,55202632,Start
249,23799932,55202632,Start
250,23799932,55202632,Start
251,23799932,55202632,Start
252,23799932,55202632,Start
253,23799932,55202632,Start
254,23799932,55202632,Start
255,23799932,55202632,Start
256,23799932,55202632,Start
257,23799932,55202632,Start
258,23799932,55202632,Start
259,23799932,55202632,Start
260,23799932,55202632,Start
261,23799932,55202632,Start
262,23799932,55202632,Start
263,23799932,55202632,Start
264,23799932,55202632,Start
265,23799932,55202632,Start
266,23799932,55202632,Start
267,23799932,55202632,Start
268,23799932,55202632,Start
269,23799932,55202632,Start
270,23799932,55202632,Start
271,23799932,55202632,Start
272,23799932,55202632,Start
273,23799932,55202632,Start
274,23799932,55202632,Start
275,23799932,55202632,Start
276,23799932,55202632,Start
277,23799932,55202632,Start
278,23799932,55202632,Start
279,23799932,55202632,Start
280,23799932,55202632,Start
281,23799932,55202632,Start
282,23799932,55202632,Start
283,23799932,55202632,Start
284,23799932,55202632,Start
285,23799932,55202632,Start
286,23799932,55202632,Start
287,23799932,55202632,Start
288,23799932,55202632,Start
289,23799932,55202632,Start
290,23799932,55202632,Start
291,23799932,55202632,Start
292,23799932,55202632,Start
293,23799932,55202632,Start
294,23799932,55202632,Start
295,23799932,55202632,Start
