osmid,x,y,ref,highway
263019122,-122.3930579,37.5577214,,
254816127,-121.8021598,37.6291532,,
451948851,-122.4336344,37.4700073,,
451948854,-122.4340157,37.4640966,,traffic_signals
3951046980,-121.9283857,37.7019707,,
3951046981,-121.928685,37.7025759,,
448803345,-122.0869802,37.3820397,,
3908055715,-121.3437386,37.4209797,,
2459972364,-122.0919115,37.7101995,,
2459972373,-122.1596563,37.7211425,,
2459972376,-122.1604909,37.7223985,,
2459972382,-122.1614286,37.7238189,,traffic_signals
2459972383,-122.161504,37.7239563,,traffic_signals
2459972384,-122.162103,37.7248472,,
3968873351,-121.8657115,37.3791842,,
2057319481,-121.8816497,37.2219152,,
2057319498,-121.9038482,37.2265607,,
2057319499,-121.8652907,37.2208425,,
2057319509,-121.8821374,37.2217569,,
69219487,-122.098253,37.42546,400C,motorway_junction
69219537,-122.0950204,37.4230243,,
744502830,-122.158483,37.3971627,,
276837953,-122.0587535,37.3748701,,
311440989,-121.9052208,37.3464769,,
276838006,-122.0594181,37.3751766,,
276838025,-122.0610783,37.3757906,,
204486285,-122.2186792,37.8347256,,motorway_junction
311441260,-121.904116,37.3472442,,
276838310,-122.1099969,37.4094879,,
311441413,-121.9048694,37.3474428,,
276838433,-122.1143074,37.3754772,,
276838434,-122.1142542,37.3772908,,
276838435,-122.11428,37.3736111,,
276838454,-122.1142005,37.3731062,,
4236261432,-122.0069012,37.564307,,
276838456,-122.1138828,37.3730301,,
4169922609,-121.8480158,37.3230375,,
4169922613,-121.8475622,37.323517,,
2860529993,-121.9969018,37.3515859,,
448805198,-122.0871051,37.3820329,,
2860529998,-121.9975956,37.3522074,,
311441759,-121.9041967,37.3462912,,
243284443,-122.2890263,37.8268401,,
276838932,-122.0691187,37.3298799,,
276838943,-122.0686293,37.3198337,,
311442068,-121.9037939,37.3466488,,
1853897723,-121.9371637,36.9835402,,traffic_signals
3958389810,-121.5315547,37.7411993,,
728775817,-122.2655158,37.8233042,,
1935687145,-121.8945467,37.3259874,,traffic_signals
1935687161,-121.8783279,37.3277437,,
1656765987,-122.3925141,37.7503802,,
2322611774,-122.4393421,37.6582739,,traffic_signals
1656766049,-122.3924498,37.750074,,
1696612039,-121.554616,37.0031642,,
243285770,-122.283131,37.8277841,,
4694491044,-122.0075854,37.5643895,,
4694491056,-122.007717,37.5648697,,
4694491060,-122.0074407,37.564873,,
4694491061,-122.0069677,37.5648775,,
311443383,-121.8957132,37.3288591,5,motorway_junction
2620375139,-121.9675292,37.323157,,
256917697,-122.0781776,37.4114606,,
4750066037,-122.1804156,37.453858,,
4750066040,-122.1805255,37.4538824,,
4750066041,-122.1798185,37.4546742,,
2367701414,-122.2871727,37.7649107,,
220217924,-122.0321781,37.3302234,,traffic_signals
860897912,-121.9657725,37.3714554,,
220218003,-122.0321738,37.3350648,,traffic_signals
220218075,-122.0374623,37.334456,,
220218084,-122.0374676,37.3342384,11,motorway_junction
3886039812,-122.1195908,37.449446,,
331367190,-122.3633218,37.5878365,,
2763015017,-121.9434487,37.3732417,,traffic_signals
2763015020,-121.9435731,37.3733952,,traffic_signals
2763015018,-121.9435938,37.3732543,,traffic_signals
600231868,-121.7738106,37.2840649,,traffic_signals
1012942397,-122.4852202,37.7141139,,
1358972501,-122.110614,37.370557,,traffic_signals
2532329047,-121.8747846,37.7126986,,
1358972503,-122.1107279,37.3706361,,traffic_signals
311445589,-121.8959161,37.3305517,6,motorway_junction
4594878577,-122.0930526,37.8860809,,
4594878579,-122.092915,37.8859725,,
4594878582,-122.0928965,37.8860439,,
4594878585,-122.0929617,37.8860955,,
4594878588,-122.0930854,37.8860378,,
1588611232,-121.8520152,37.7103856,,
1588611241,-121.8520217,37.7105063,,
29378879,-122.0657239,37.4190761,,
204491373,-122.2157132,37.8321376,,
448809689,-122.0847821,37.3928947,,traffic_signals
448809699,-122.0850133,37.392991,,traffic_signals
3682618161,-122.1533342,37.7155134,,
3682618162,-122.1542623,37.7161503,,
3682618171,-122.1534788,37.7156159,,
3682618176,-122.1534097,37.7160213,,
461392857,-122.3936095,37.615134,,
4594879593,-122.0930586,37.8859671,,
3729805119,-122.0289913,37.3950025,,
2559594425,-122.1416467,37.7025882,,
2559594483,-122.1405445,37.7017295,,
1711296815,-122.4529091,37.7231997,,
3729805734,-122.0289078,37.3952833,,
29381096,-122.0662577,37.4165283,,
29381097,-122.0640877,37.4204096,,
29381103,-122.0618588,37.4204118,,
29381104,-122.0618669,37.4175679,,
29381105,-122.0618583,37.4161525,,
29381107,-122.0621949,37.4125193,,
29381108,-122.0625038,37.4113122,,
220221941,-122.0484001,37.3341106,12A,motorway_junction
29381129,-122.0637597,37.4097651,,
29381137,-122.0639699,37.4137741,,
29381145,-122.0589647,37.41757,,
29381146,-122.0589647,37.4162237,,
1344295730,-121.8035079,37.6996416,,
704664420,-122.4645241,37.6602659,,
157307775,-122.4266694,37.6293435,,
5049963582,-122.2631502,37.7770677,,
5049963585,-122.2628151,37.7768066,,
157308015,-122.0633377,37.3875708,,
369936753,-121.8748081,37.2421145,,
2260751754,-122.4062437,37.6554542,,
369936755,-121.8747823,37.2430574,,
4065351169,-121.6462598,37.1268128,,
4065351171,-121.6451105,37.1272321,,traffic_signals
4065351172,-121.6450013,37.1272783,,traffic_signals
4065351175,-121.6415242,37.1284799,,
4065351176,-121.6416131,37.1285696,,
4065351181,-121.6373217,37.1300409,,
4065351186,-121.6371349,37.130264,,
207640137,-122.1372286,37.4584064,403,motorway_junction
5261776459,-121.901875,37.3190235,3A;3B,motorway_junction
207640173,-122.1394113,37.4598956,,motorway_junction
207640216,-122.1415733,37.4611508,,
4065351392,-121.6319251,37.132235,,
4065351394,-121.6306856,37.1327271,,
207640310,-122.1424925,37.4617063,,
5334128536,-122.041873,37.3974438,,
5334128538,-122.0394953,37.3986786,3A,motorway_junction
5148530596,-121.8575955,37.3650025,,
246437952,-121.8944853,37.3333015,,
246438004,-121.8946068,37.326766,,motorway_junction
246438140,-121.900264,37.3276569,,
246438180,-121.8952827,37.3293477,,traffic_signals
246438202,-121.8963937,37.3288938,,traffic_signals
246438223,-121.8941806,37.3274616,,
204495228,-122.2186609,37.8351928,,
3958397386,-122.1058617,37.6263927,,
3958397388,-122.1046831,37.6272471,,
3958397394,-122.1093715,37.6310681,,
1676696061,-122.1059299,37.62646,,
1080056454,-122.1031174,37.4300628,,
4604320479,-121.7470527,37.1604174,,
189815672,-122.0326669,37.382128,,traffic_signals
189815682,-122.0328361,37.3821743,,traffic_signals
5073034629,-122.4183504,37.6393669,,traffic_signals
1646288477,-121.8253295,36.9764274,,
423649001,-121.5431389,37.7794255,,
293625602,-122.393072,37.7944306,,traffic_signals
423649025,-121.5570979,37.778394,,
2860539966,-121.9776581,37.3519717,,
2860539967,-121.9867804,37.3519755,,
2860539968,-121.9837922,37.3519968,,
2860539969,-121.9841033,37.3520027,,
2860539993,-121.9871834,37.3523067,,
2860539994,-121.9845447,37.3523082,,
2860539996,-121.9833589,37.3523108,,
2860539997,-121.9781056,37.3523122,,
2860539998,-121.9833533,37.3524519,,
2860539999,-121.984603,37.3524519,,
2860540000,-121.9781075,37.3524525,,
2860539995,-121.9771739,37.3523108,,
5797601427,-122.4242704,37.4238822,,
5797601426,-122.4238927,37.4239061,,
5797601428,-122.4246824,37.4238319,,
5797601432,-122.4243368,37.4239939,,
423649493,-121.5570345,37.7857924,,
1313890609,-122.2166618,37.7990799,,
1313890628,-122.2172596,37.7975788,,
2099274391,-122.2653218,37.7960256,,
2099274393,-122.264628,37.795932,,
2860540901,-121.977204,37.3524528,,
2860540917,-121.9841332,37.3527508,,
2860540918,-121.9838165,37.3527851,,
2860540919,-121.9776489,37.352993,,
2860540921,-121.9447104,37.3556167,,
2860540925,-121.9443896,37.3557602,,
3957351462,-122.3554188,37.5231236,,
3972031570,-122.487423,37.6716014,,
293626968,-122.3932638,37.7942556,,traffic_signals
220226948,-122.0684417,37.3862337,23,motorway_junction
220226963,-122.0693638,37.3913225,,
704669190,-122.4659055,37.6679415,46,motorway_junction
318793256,-122.4636308,37.6841902,,
662726277,-121.9605122,37.2629552,,
242247479,-122.1899048,37.7311503,,
26240871,-122.0346404,37.3848221,,motorway_junction
26240873,-122.0342107,37.3842464,,
26240920,-122.0781618,37.4155602,,traffic_signals
311453638,-121.9190606,37.3604187,,motorway_junction
247491320,-122.2813423,37.8022918,,traffic_signals
1401973679,-122.0098664,37.3521216,,
297823202,-122.2606599,37.5566472,,traffic_signals
1378905422,-122.3021119,37.8260458,,
1378905424,-122.2939065,37.8286559,,motorway_junction
1235250614,-121.9028076,37.6563048,,
5334134378,-122.0425586,37.3972393,2,motorway_junction
5334134384,-122.0360663,37.4006582,396B,motorway_junction
1095790263,-121.7680937,37.6452846,,crossing
288386757,-121.8488223,37.2432508,,
90873569,-121.513203,37.758209,,
3957354404,-122.1333497,37.6866799,,
3957354407,-122.1332645,37.6869953,,
3997200477,-122.232153,37.481281,,
36729526,-121.7792691,37.2563595,,
36729537,-121.7734314,37.2522286,,
36729541,-121.7712589,37.2506043,,
809530569,-122.2239583,37.4866772,,
809530571,-122.2247377,37.486701,,
809530572,-122.2249767,37.486695,,
420508886,-122.4769774,37.7617561,,traffic_signals
809530576,-122.2246847,37.4869555,,
704673274,-122.4534327,37.6544679,,
2322626301,-122.22608,37.4599582,,
1671460880,-121.9785162,37.5641618,,traffic_signals
1804630728,-122.1823682,37.8792205,,
2286975842,-122.3959245,37.6392613,,
5334137718,-122.0463333,37.3953112,,motorway_junction
5334137719,-122.0467504,37.3950184,,traffic_signals
375422222,-121.8657382,36.9960677,,
267419591,-122.312601,37.8111472,,
3701506200,-122.1516815,37.8927429,,
1626374465,-122.1409092,37.4590194,,traffic_signals
599818605,-122.0661391,37.6069406,,
1626374674,-122.1409681,37.4588753,,traffic_signals
1626374686,-122.1410673,37.4590462,,traffic_signals
1626374695,-122.1411212,37.4589149,,traffic_signals
1671463545,-121.9837967,37.5550262,,
1671463557,-121.9829637,37.5550963,,
1096844253,-122.3964783,37.6839864,,
1299219434,-121.9289013,37.537829,,
831554662,-122.2075193,37.4687557,,
3997777666,-122.4689045,37.6656343,,
267420945,-122.3112539,37.8088369,,
267420953,-122.3222617,37.8067199,,traffic_signals
2463551315,-121.957532,37.5607022,,
683705747,-122.2342188,37.7337905,,
4184307013,-122.3655198,37.5962901,,
4170221402,-121.9236222,37.387438,,
899712870,-122.2604523,37.8105636,,traffic_signals
3957360487,-122.3297204,37.5862794,,
3957360491,-122.3296609,37.5863687,,
1298171853,-121.8596593,37.3353397,,
1298171921,-121.8569215,37.3367668,,
1853917355,-121.8768079,37.2589174,,
704678064,-122.466863,37.6701219,,
2620426689,-121.9948023,37.3229639,,
2620426702,-121.99388,37.3231176,,
2620426706,-121.9947366,37.3231228,,
2620426729,-121.9954215,37.3233904,,
3957361136,-122.3331262,37.522613,,
3957361138,-122.3317136,37.5228587,,
204507748,-122.0958076,37.4027972,,motorway_junction
204507771,-122.0973501,37.4031478,,
1913686794,-122.0125198,37.3230269,,
246450985,-121.8854482,37.3251609,,
246451017,-121.8824262,37.3263798,,
664832990,-122.0309709,37.3522191,,
4913662949,-121.8845604,37.4364224,,
246451180,-121.8884199,37.3249415,,motorway_junction
664833013,-122.0292667,37.3522167,,
664833014,-122.0298515,37.3522164,,
831556633,-122.4479727,37.8008979,,traffic_signals
420514907,-122.4316553,37.7872549,,traffic_signals
662736047,-122.0860722,37.3209955,,
4730162393,-121.9589734,37.4121348,,
2057287605,-121.9057043,37.2428726,,traffic_signals
4913663499,-121.8926406,37.4228999,,
2236649167,-122.4472809,37.7823616,,
297832154,-122.2056712,37.4868617,,turning_circle
705728218,-121.7077935,37.0343672,,
311463978,-121.8977869,37.3212865,,
311463982,-121.8998332,37.3214965,,
1067487494,-122.0586752,37.3867274,,
3660616121,-122.0912983,37.422998,,
311464379,-121.9181245,37.3506368,,
2461045462,-121.7328804,37.679816,,
2461045463,-121.7330533,37.6798224,,
2461045466,-121.7329043,37.6799389,,
2461045467,-121.7330899,37.6799518,,
2322633525,-122.2491223,37.4670594,,crossing
770925789,-122.437132,37.6196172,,traffic_signals
2896942984,-121.5875738,36.9872953,,
851481730,-122.3342638,37.508757,,
