SAMPN,PERNO,origin,destination
1139507,2,420501812,65359916
1139514,1,65337421,4880866522
1139845,1,62419704,53059333
1139845,2,62419704,62516736
1140059,1,62393656,62489124
1140059,2,62393656,62489124
1140059,3,62393656,62489124
1140059,4,62393656,62489124
1140059,5,62393656,62489124
1140321,2,4614884248,110436124
1140514,1,65340972,65292742
1140514,2,65340972,65314202
1140624,1,2780116436,65350747
1140624,2,2780116436,65513591
1140657,1,65423648,1711296973
1140657,3,65423648,65395289
1141305,1,65336622,1723738893
1141570,1,4021100594,415194042
1141798,1,55971330,55951858
1141856,1,65449941,65415090
1141857,1,65480045,956860595
1141857,2,65480045,262225154
1141904,1,56034549,56090721
1142183,1,56106837,1723738831
1142789,1,65523972,1067402249
1142874,1,2191282471,62368109
1142874,2,2191282471,62241718
1143181,1,65500907,65460864
1143194,1,2471575137,55961837
1143194,2,2471575137,55970572
1143219,1,56150012,56046743
1143233,1,65298742,615115440
1143233,2,65298742,65336821
1143255,1,312432770,53116963
1143505,1,65312631,312119130
1143505,2,65312631,312119130
1143740,1,4022947857,65317532
1144036,1,57881950,57841544
1144036,2,57881950,595963705
1144174,1,62445528,522276342
1144231,1,65544444,2299911481
1144231,2,65544444,33372160
1144667,1,5035348353,2716299656
1144667,2,5035348353,3810293247
1144765,2,65503952,65602385
1144889,1,56049027,56092113
1144932,2,56053327,351117431
1145194,1,53082891,567010709
1145194,2,53082891,65327154
1145199,1,258468617,65295289
1145239,1,62431104,62410736
1145353,1,65454461,667229004
1145577,1,56134757,56075022
1145588,1,65501378,4911065157
1145956,1,65441673,65449910
1146311,1,56026484,55950078
1146944,1,289662376,3217632933
1147026,2,65485165,65497652
1147026,3,65485165,65458910
1147026,7,65485165,65458910
1147147,1,62404661,62510659
1147147,2,62404661,62388408
1147205,1,65303554,65343958
1147295,2,5278666055,3695930065
1147540,1,56053297,55959648
1147622,1,65365832,65345130
1147675,3,62459996,62441472
1147762,2,65391159,2460760149
1148075,1,65308511,65316172
1148430,1,110425072,110384132
1148505,4,56039364,55950091
1148828,1,306534189,1106542164
1148828,2,306534189,3523003965
1148899,1,62500422,53026622
1148911,1,56108538,345569812
1148949,1,65484011,65484940
1149029,1,65488626,65436603
1149029,2,65488626,3643661881
1149029,3,65488626,2057287663
1149157,1,53043600,53026622
1149354,2,56116695,56109828
1149467,1,56047142,354841224
1149777,1,56060329,56118754
1149981,1,62184145,62428300
1149981,2,62184145,62384810
1150039,2,57919676,57804690
1150090,2,56030147,56036563
1150189,1,65479357,65325369
1150210,2,65289328,65308413
1150277,1,65391410,65449799
1150381,2,55959879,55951522
1150476,1,53092889,65303500
1150476,2,53092889,1707788564
1150549,1,65392863,3608334997
1150549,2,65392863,518864756
1150609,1,62432762,65295275
1150634,2,65575746,461443503
1151065,1,55957771,55954286
1151065,2,55957771,4588500456
1151150,1,65594594,32791319
1151272,1,65563979,3652090817
1151272,3,65563979,317529121
1151379,1,65347058,5057712086
1151426,1,53104346,53081214
1151647,1,65402795,4911065157
1151647,2,65402795,461443503
1151828,1,65456476,65421188
1152068,2,65292019,65317585
1152068,3,65292019,53040130
1152114,1,276074688,65534292
1152114,3,276074688,285744256
1152264,2,62444103,62407530
1152641,1,65490879,1020769395
1152715,3,52994382,53070334
1152854,1,110407309,56115803
1152854,2,110407309,2583215467
1153006,1,2705215346,55957412
1153183,1,56080908,55977909
1153205,1,55971101,55967279
1153453,1,65503948,282409368
1153616,1,62477090,62368879
1153616,2,62477090,57870969
1153616,3,62477090,62407872
1153616,4,62477090,62407872
1153675,1,56049139,56097539
1153748,1,65350764,65295336
1154339,1,65486437,847439828
1154384,1,4924783173,57802426
1155019,1,56101432,56090733
1155019,2,56101432,346031589
1155019,3,56101432,56108272
1155019,4,56101432,56031924
1155038,1,53020804,53118863
1155232,2,62420058,57807476
1155258,1,65507350,65434890
1155258,2,65507350,53114393
1155425,1,53048531,4177142456
1155425,3,53048531,53040868
1155425,4,53048531,3958397386
1155606,1,56108501,110437131
1155606,2,56108501,4018042438
1155655,2,65384105,65421721
1155655,3,65384105,65435879
1155760,1,62428201,57813567
1155760,2,62428201,62258906
1155767,1,56159599,56058468
1155767,2,56159599,56020459
1155812,1,65448505,65404017
1156034,2,65571985,5372789413
1156664,2,56119639,56078336
1156709,1,65320191,65441851
1156821,1,65430055,655415820
1156880,2,4931880137,56110614
1157174,1,2768776650,411850768
1157174,2,2768776650,56094387
1157437,1,65418760,65663712
1157659,2,1954587802,56108262
1157763,1,65305263,53077319
1158061,1,65404127,281363252
1158066,2,55959335,1016952906
1158137,1,3197604461,62409171
1158137,2,3197604461,5357279923
1158177,1,56175650,56066634
1158255,1,56120099,318293406
1158841,1,62400460,62445352
1159028,2,65472040,324502941
1159124,2,56102958,56150152
1159400,1,56083711,56114910
1159910,1,62399030,57861626
1159910,2,62399030,65432860
1160198,1,65403554,2494527789
1160198,3,65403554,380222416
1160240,2,56088960,110433439
1160502,1,56150152,62443847
1160695,1,56043809,56069480
1160945,2,65595891,704784837
1161045,1,65575401,664251144
1161045,2,65575401,32791319
1161987,1,53061651,2328487015
1161987,2,53061651,53049857
1162119,2,3614216332,760439635
1162119,3,3614216332,5288352311
1162138,1,65291206,65368988
1162138,2,65291206,1201336245
1162368,1,65638211,435797785
1162368,2,65638211,65445384
1162676,1,65523413,65531229
1162676,2,65523413,1522852185
1162704,1,65591487,3756924095
1162757,2,65615955,3614216329
1162803,2,110423876,110386343
1162811,1,65482485,65493361
1162811,2,65482485,2553680746
1162897,1,56015353,56108487
1162978,1,53075758,53075758
1163181,1,65635179,65493116
1163181,2,65635179,65414026
1163204,1,56036760,297253755
1163879,1,53145251,2389145841
1163961,1,53074425,53047827
1163961,2,53074425,53025468
1164027,1,65554432,343269584
1164052,2,62505767,56137145
1164087,1,281363137,281446811
1164304,1,56073750,354834803
1164369,1,110387628,65295388
1164384,1,65620924,313113382
1164386,2,65625232,287825433
1164386,3,65625232,1021057175
1164665,1,65673741,312443057
1164752,1,56073820,56086965
1164752,2,56073820,56080519
1164752,3,56073820,56086970
1164752,4,56073820,56126815
1164752,5,56073820,56126815
1164885,1,65496507,65467490
1164929,4,65393501,65493361
1165077,1,65514637,1782361541
1165077,2,65514637,65401373
1165521,1,5057623296,65303533
1165564,1,56050225,285744256
1165564,2,56050225,5359949608
1165648,1,311882161,2389145817
1165648,2,311882161,2389063554
1165783,1,65571310,65460864
1165783,2,65571310,522277389
1165940,1,65359116,65336938
1165984,2,56122915,56041750
1166178,1,56020767,56018288
1166231,1,65322284,2983686934
1166231,2,65322284,99390285
1166359,2,62395621,62365219
1166499,2,56099083,56172953
1166590,2,65459115,65327388
1167674,1,1079137602,65303525
1167674,2,1079137602,65307356
1167681,2,65287699,1723738887
1167932,1,53082579,32972213
1167932,2,53082579,65287691
1168011,2,55970986,55986651
1168201,2,56058342,413718517
1168404,1,65627558,257938654
1168404,3,65627558,65417730
1168404,4,65627558,1708555274
1168404,5,65627558,3688523353
1168452,1,55959734,65341861
1168673,1,53116304,53085389
1168673,2,53116304,53099342
1168906,2,62474176,62391275
1169010,2,65570523,65596566
1169017,1,65485644,956860595
1169017,2,65485644,65308283
1169021,1,65442159,65317945
1169021,2,65442159,65542994
1169219,1,65287699,65295281
1169372,1,262910169,663151605
1169372,2,262910169,1080508994
1169464,1,317349911,65449490
1169464,3,317349911,3521303826
1169868,2,62475936,62506726
1169976,1,65350566,57867626
1170324,2,65333932,65290236
1170408,1,65551866,431951982
1170713,1,56107723,56043033
1170713,2,56107723,110379506
1170713,3,56107723,56034785
1170729,1,3394771782,65460864
1171111,1,5372825595,53046805
1171111,2,5372825595,65649886
1171301,1,65431829,53145534
1171301,2,65431829,65458738
1171428,1,65446407,65551296
1171428,4,65446407,65500363
1171474,1,56161393,4102580978
1171474,2,56161393,56046736
1171584,1,57860855,2520484020
1171619,1,56104112,56172600
1171619,2,56104112,4117323336
1171825,1,57894543,53065666
1171838,1,65624757,4944392417
1172272,1,65391259,461443503
1172515,1,3593486075,65487676
1172515,2,3593486075,3710193384
1172515,3,3593486075,65419441
1172515,4,3593486075,65419441
1172515,5,3593486075,65545508
1172549,1,683041737,62387547
1172549,2,683041737,4941620875
1172554,1,62389839,257532281
1172554,2,62389839,257532281
1172814,1,65364788,65317542
1172814,3,65364788,1211585283
1172814,4,65364788,65325061
1172818,1,256193565,53077118
1172835,1,65359321,4035920619
1173264,1,55949522,55960112
1173654,1,53070096,53037525
1173654,2,53070096,237134303
1173657,1,65458538,53076583
1173669,1,2768654768,56090721
1173852,1,65614351,1105792719
1174315,1,56156917,55950137
1174756,1,267456161,687817976
1175115,1,53029814,65295289
1175159,1,53070384,2379568312
1175159,2,53070384,65403267
1175219,1,53033972,53026619
1175304,1,53069193,1511349597
1175304,2,53069193,65307438
1175309,1,53153409,439070580
1175416,1,53087101,564721364
1175416,2,53087101,53050926
1175484,2,2453229377,65352485
1176070,1,53047215,65414026
1176456,1,3958397388,53064555
1176852,1,53152442,1091823033
1176923,2,53127040,5354851404
1176951,2,53038303,1676258665
1177174,1,53017286,522277779
1177229,1,53043564,2270549279
1177229,2,53043564,522277389
1177496,2,4451320948,577630002
1177563,1,441726001,65416063
1177600,1,417952589,3219700404
1177600,2,417952589,300759006
1177831,1,369115699,3449474216
1177923,1,53128545,53102444
1177977,1,53027434,65534618
1177977,2,53027434,53036414
1178232,1,53086846,4000470397
1178232,2,53086846,4169958757
1178232,3,53086846,53105213
1178633,1,53141626,53025043
1178677,2,53089024,65309522
1179163,1,53039815,240448958
1179400,1,53018352,65287329
1179400,2,53018352,3810293247
1179431,1,53080697,53046431
1179431,2,53080697,53055202
1179438,1,53107859,53027379
1179438,2,53107859,394215559
1179615,1,53049864,65328969
1179615,2,53049864,53081598
1179644,1,502839393,228579106
1179689,1,53021427,65345359
1179689,2,53021427,53096031
1179881,2,53045610,240448964
1180096,1,53063888,2286923070
1180182,1,53113657,258346628
1180578,1,53055195,2065927938
1180584,1,53059866,53055202
1182718,2,53092838,33155441
1182718,3,53092838,65295279
1182718,4,53092838,53140746
1185267,1,3982618680,305467757
1185393,1,2565675292,57831657
1185817,1,1899684263,5280135616
1185817,2,1899684263,1723738887
1186189,1,57868047,53101751
1186499,2,57846124,1723739359
1186575,2,57819637,53109725
1186814,1,57858716,65308278
1186940,1,353230961,2230747177
1186940,3,353230961,1717122677
1187251,2,5116525000,57948494
1187251,3,5116525000,53094031
1187427,1,57802097,53050568
1187627,1,4557383696,1454639424
1187627,2,4557383696,2565509137
1188614,2,57843964,57830546
1188930,1,57860981,65295388
1188996,1,2447310011,1990630265
1253392,1,110448662,65305881
1253624,1,110446114,1511349597
1253990,1,110382671,65317030
1253990,2,110382671,1080508994
1254386,1,110411015,62499226
1254386,2,110411015,462036035
1254764,1,110422728,2716299656
1254807,1,110427375,110377352
1254807,2,110427375,270661889
1254869,1,1984461010,110441358
1264944,1,1587140530,62290579
1264944,3,1587140530,4775886104
1264944,5,1587140530,62290579
1264982,1,320813149,55958356
1265445,1,55951211,55951897
1265445,2,55951211,303685292
1265657,1,55971305,55956556
1265854,1,55963778,55961839
1300642,1,65317713,65326740
1300922,1,5283675522,65312706
1300935,1,65303553,1723738893
1300991,1,65322686,258286458
1301070,1,65302184,65336821
1301070,2,65302184,1080509009
1301096,1,65322521,65613985
1301103,1,2317662697,56014463
1301180,1,258886225,65299397
1301180,2,258886225,65317030
1301189,1,65319637,65308413
1301194,1,65293599,65296223
1301194,2,65293599,65306787
1301454,1,65304059,1758054026
1301460,1,65293652,5269229821
1302149,1,65316785,1511349597
1302642,1,1607089625,65294644
1306637,1,65439230,65395289
1306637,2,65439230,65420073
1307452,1,65469551,65392825
1307452,2,65469551,65391839
1307452,3,65469551,65391839
1307452,4,65469551,983594914
1307983,1,65441377,65283387
1308172,1,65392082,4926612648
1308172,2,65392082,1782361541
1308172,3,65392082,1723739163
1308552,1,564637410,65628969
1310704,1,65660471,65647490
1310943,2,65640043,65470603
1311217,1,65499637,65568467
1311217,2,65499637,704784837
1311296,2,291642955,65658657
1311356,1,65583465,191689124
1311406,1,65507013,265654710
1311441,1,286638528,662726277
1311441,2,286638528,53086989
1312753,2,3539620143,53026617
1313043,2,65436656,518864756
1313096,1,65425407,5376561804
1313096,2,65425407,668434725
1313108,1,65610203,65398260
1313118,1,65495856,287825433
1313118,2,65495856,65594118
1313118,3,65495856,65447979
1313385,1,65437119,272296807
1313385,2,65437119,65449634
1313593,1,65672950,1079589724
1313678,1,1079831458,3394771782
1313678,2,1079831458,1102852003
1313933,2,65444798,65537421
1313990,2,65468824,297690759
1313997,1,65549537,5050344935
1314069,1,65558953,2460760149
1318928,1,62439392,62469780
1319753,1,56126438,56019167
1319784,1,56048567,56014463
1319784,3,56048567,55975518
1320244,1,56156817,56152233
1320399,1,56126756,56019176
1320472,1,3195167162,56014463
1320472,2,3195167162,56101838
1320527,1,56043975,55950053
1320747,1,56067531,55961935
1320747,2,56067531,1511349597
1320761,1,56004620,56081062
1320792,1,2470115372,4932170198
1320953,1,56082721,55968160
1321010,1,56034861,56152662
1336408,1,53049876,53103268
1336408,2,53049876,57848314
1336484,2,53017278,65333123
1337345,3,315027817,668462030
1337354,2,53065143,532759497
1337701,1,65317570,65357250
1338074,1,65332314,65303541
1338074,2,65332314,65295289
1338123,1,65452648,275406508
1338286,1,65309721,65335530
1338901,1,3694092011,2333828913
1339110,1,65574223,4148256397
1339110,2,65574223,470211795
1339110,3,65574223,65543252
1339110,4,65574223,65543252
1339402,2,53040625,53107428
1339402,3,53040625,53107428
1340060,1,53047102,301503404
1340250,2,57829614,2565608726
1340373,1,65651473,4920372955
1340472,1,1967947948,57928316
1340472,2,1967947948,65393004
1340572,1,712663398,461443503
1340759,2,65428823,65458098
1340975,1,57817796,65308278
1340975,2,57817796,30364622
1341034,1,65564680,281446811
1341204,1,456687795,370690309
1341349,2,65586085,760439618
1341753,1,110386995,110411120
1341753,2,110386995,110427951
1341769,1,65598805,5228064062
1342126,1,65572227,65460269
1342126,2,65572227,65495335
1342185,1,53028539,53050728
1342185,2,53028539,53145251
1342402,1,110408082,62396191
1342402,2,110408082,65295289
1342402,3,110408082,110392902
1342643,1,57937708,57816049
1342753,1,2172441604,65303723
1342997,1,65524690,32791319
1342997,2,65524690,2460760149
1342997,3,65524690,65429150
1343310,2,57842647,110395919
1343310,3,57842647,53096090
1343322,2,65492689,65525731
1344212,1,62504120,777466790
1344212,2,62504120,62426286
1344646,1,65332311,65317754
1345158,2,110392642,110429745
1345255,1,65446779,3652090817
1345255,2,65446779,432740160
1345255,3,65446779,432588488
1345476,1,4593190581,2427018809
1345559,1,53133490,1723739123
1345717,1,65318505,3741990223
1346089,1,1615026937,65490040
1346089,2,1615026937,65671235
1346126,1,110427332,2807231342
1346828,1,65498262,248088339
1346828,3,65498262,248088339
1347176,2,53025830,2427287768
1347308,1,65583627,65489063
1347439,1,53063547,53063541
1347534,1,65501359,54891501
1347582,1,3019171757,53023177
1347582,2,3019171757,65437933
